Name,Ticker,Sector
First Industrial Realty Trust,FR,Real Estate
Avis Budget Group,CAR,Industrials
Chemed Corporation,CHE,Health Care
Valmont Industries,VMI,Industrials
Celanese,CE,Materials
Jazz Pharmaceuticals,JAZZ,Health Care
Axalta,AXTA,Materials
Ionis Pharmaceuticals,IONS,Health Care
Bruker,BRKR,Health Care
BOK Financial Corporation,BOKF,Financials
UiPath,PATH,Information Technology
Bright Horizons,BFAM,Consumer Discretionary
Air Lease Corporation,AL,Industrials
Kirby Corporation,KEX,Industrials
Matador Resources,MTDR,Energy
Janus Henderson,JHG,Financials
Fortune Brands Innovations,FBIN,Industrials
Boyd Gaming,BYD,Consumer Discretionary
Louisiana-Pacific,LPX,Materials
Lumentum,LITE,Information Technology
Mattel,MAT,Consumer Discretionary
RLI Corp.,RLI,Financials
Alaska Air Group,ALK,Industrials
Idacorp,IDA,Utilities
Clearway Energy (Class C),CWEN,Utilities
Chord Energy,CHRD,Energy
Gates Corporation,GTES,Industrials
CCC Intelligent Solutions,CCCS,Information Technology
Lyft,LYFT,Industrials
AAON,AAON,Industrials
Caesars Entertainment,CZR,Consumer Discretionary
Choice Hotels,CHH,Consumer Discretionary
e.l.f. Beauty,ELF,Consumer Staples
Rithm Capital,RITM,Financials
Vail Resorts,MTN,Consumer Discretionary
Etsy,ETSY,Consumer Discretionary
Whirlpool Corporation,WHR,Consumer Discretionary
"KBR, Inc.",KBR,Industrials
MGIC Investment Corporation,MTG,Financials
Element Solutions,ESI,Materials
First American Financial Corporation,FAF,Financials
Credit Acceptance,CACC,Financials
Post Holdings,POST,Consumer Staples
Darling Ingredients,DAR,Consumer Staples
GXO Logistics,GXO,Industrials
Silgan Holdings,SLGN,Materials
Brookfield Renewable Partners,BEPC,Utilities
Hanover Insurance,THG,Financials
Affiliated Managers Group,AMG,Financials
Crocs,CROX,Consumer Discretionary
Lincoln Financial,LNC,Financials
Bank OZK,OZK,Financials
SiteOne Landscape Supply,SITE,Industrials
Littelfuse,LFUS,Information Technology
Cognex Corporation,CGNX,Information Technology
SentinelOne,S,Information Technology
Healthcare Realty Trust,HR,Real Estate
Lear Corporation,LEA,Consumer Discretionary
FNB Corporation,FNB,Financials
Vontier,VNT,Information Technology
FTI Consulting,FCN,Industrials
WillScot Mobile Mini,WSC,Industrials
Enphase Energy,ENPH,Information Technology
Timken Company,TKR,Industrials
Nexstar Media Group,NXST,Communication Services
Amkor Technology,AMKR,Information Technology
Cirrus Logic,CRUS,Information Technology
SAIC,SAIC,Industrials
FMC Corporation,FMC,Materials
Columbia Banking System,COLB,Financials
Gentex,GNTX,Consumer Discretionary
QuantumScape,QS,Consumer Discretionary
WEX Inc.,WEX,Financials
Teleflex,TFX,Health Care
NOV Inc.,NOV,Energy
Trump Media & Technology Group,DJT,Communication Services
MSC Industrial Direct,MSM,Industrials
Landstar,LSTR,Industrials
Onto Innovation,ONTO,Information Technology
Madison Square Garden Sports,MSGS,Communication Services
Thor Industries,THO,Consumer Discretionary
Valvoline,VVV,Materials
Grand Canyon Education,LOPE,Consumer Discretionary
Lazard,LAZ,Financials
Cleveland-Cliffs,CLF,Materials
Cousins Properties,CUZ,Real Estate
VF Corporation,VFC,Consumer Discretionary
National Storage Affiliates,NSA,Real Estate
Americold,COLD,Real Estate
Hexcel,HXL,Industrials
Sealed Air,SEE,Materials
Schneider National,SNDR,Industrials
Avnet,AVT,Information Technology
Spirit AeroSystems,SPR,Industrials
Sensata Technologies,ST,Industrials
White Mountains Insurance Group,WTM,Financials
Bill.com,BILL,Information Technology
Reynolds Consumer Products,REYN,Consumer Staples
EPR Properties,EPR,Real Estate
Sonoco,SON,Materials
Kilroy Realty,KRC,Real Estate
Euronet Worldwide,EEFT,Financials
Coty,COTY,Consumer Staples
Robert Half,RHI,Industrials
Weatherford International,WFRD,Energy
Howard Hughes Holdings,HHH,Real Estate
Assured Guaranty,AGO,Financials
Dun & Bradstreet,DNB,Industrials
Scotts Miracle-Gro Company,SMG,Materials
Brunswick Corporation,BC,Consumer Discretionary
Kemper Corporation,KMPR,Financials
RH,RH,Consumer Discretionary
Inspire Medical Systems,INSP,Health Care
Travel + Leisure Co.,TNL,Consumer Discretionary
Perrigo,PRGO,Health Care
Globant,GLOB,Information Technology
Advance Auto Parts,AAP,Consumer Discretionary
Rayonier,RYN,Real Estate
Concentrix,CNXC,Information Technology
Third Federal S&L,TFSL,Financials
PVH Corp.,PVH,Consumer Discretionary
Viking Therapeutics,VKTX,Health Care
Highwoods Properties,HIW,Real Estate
Envista,NVST,Health Care
"Macy's, Inc.",M,Consumer Discretionary
Iridium Communications,IRDM,Communication Services
Columbia Sportswear,COLM,Consumer Discretionary
MDU Resources,MDU,Utilities
Crane NXT,CXT,Industrials
Sotera Health,SHC,Health Care
nCino,NCNO,Information Technology
Freshpet,FRPT,Consumer Staples
Flowers Foods,FLO,Consumer Staples
"First Hawaiian, Inc.",FHB,Financials
IAC Inc.,IAC,Communication Services
Dentsply Sirona,XRAY,Health Care
Hayward Holdings,HAYW,Industrials
Amedisys,AMED,Health Care
IPG Photonics,IPGP,Information Technology
Civitas Resources,CIVI,Energy
Harley-Davidson,HOG,Consumer Discretionary
Clarivate,CLVT,Industrials
Seaboard Corporation,SEB,Consumer Staples
Marriott Vacations Worldwide,VAC,Consumer Discretionary
Under Armour (Class C),UA,Consumer Discretionary
Polaris Inc.,PII,Consumer Discretionary
Brighthouse Financial,BHF,Financials
Ultragenyx,RARE,Health Care
Western Union,WU,Information Technology
Penn Entertainment,PENN,Consumer Discretionary
Yeti Holdings,YETI,Consumer Discretionary
DXC Technology,DXC,Information Technology
Organon & Co.,OGN,Health Care
Olin Corporation,OLN,Materials
Medical Properties Trust,MPW,Real Estate
Apellis Pharmaceuticals,APLS,Health Care
Ashland Global,ASH,Materials
RingCentral,RNG,Information Technology
Newell Brands,NWL,Consumer Discretionary
DoubleVerify,DV,Information Technology
Capri Holdings,CPRI,Consumer Discretionary
Acadia Healthcare,ACHC,Health Care
Park Hotels & Resorts,PK,Real Estate
Boston Beer Company,SAM,Consumer Staples
Tripadvisor,TRIP,Communication Services
Wendy's Company (The),WEN,Consumer Discretionary
Chemours,CC,Materials
QuidelOrtho,QDEL,Health Care
Teradata,TDC,Information Technology
ManpowerGroup,MAN,Industrials
Five9,FIVN,Information Technology
Huntsman Corporation,HUN,Materials
Enovis,ENOV,Health Care
"Premier, Inc.",PINC,Health Care
"Certara, Inc.",CERT,Health Care
Sarepta Therapeutics,SRPT,Health Care
Playtika,PLTK,Communication Services
10x Genomics,TXG,Health Care
Azenta,AZTA,Health Care
"Grail, Inc.",GRAL,Health Care
Spectrum Brands,SPB,Consumer Staples
Leggett & Platt,LEG,Consumer Discretionary
Grocery Outlet,GO,Consumer Staples
Carter's,CRI,Consumer Discretionary
New Fortress Energy,NFE,Energy
Kohl's,KSS,Consumer Discretionary
Vestis,VSTS,Consumer Discretionary
Angi Inc.,ANGI,Communication Services
Fortrea,FTRE,Health Care
Wolfspeed,WOLF,Information Technology
